title,artist,chart_entry_date,peak_rank,top10,stream_window,window_length,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,loudness,speechiness
"Big City, Bright Lights",The Minds Of 99,2020-03-27,18,0,"[39611, 27667, 20897, 19646, 17159, 14751, 14010, 15818, 12716, 10852, 10843, 10649, 11013, 10794, 9527, 8818, 8589, 7649, 8116, 8584, 8324]",21,0.622,0.768,0.753,164.076,0.000982,0.00366,0.0557,-3.785,0.0536
Big Jet Plane,Angus & Julia Stone,2017-06-14,62,0,"[17646, 11405, 11381, 8182, 9051, 6969, 9331, 11692, 7616, 23247, 41026, 24543, 26107, 30035, 35994, 32845, 37619, 38470, 38501, 24575, 26504]",21,0.762,0.387,0.274,109.959,0.239,0.00756,0.13,-8.643,0.0277
Big Poppa - 2005 Remaster,The Notorious B.I.G.,2017-03-09,160,0,"[186236, 6185, 6796, 6271, 6333, 6505, 6991, 5943, 6191, 6397, 6560, 6245, 6333, 6621, 6184, 6298, 6392, 6970, 6226, 5933, 6207]",21,0.78,0.575,0.773,84.492,0.43,0.0,0.143,-7.247,0.273
Bijlee Bijlee,Harrdy Sandhu,2021-10-31,2,1,"[67626, 76093, 75035, 76017, 69371, 67910, 81068, 90850, 100163, 117729, 145267, 167784, 202628, 240004, 256552, 288088, 314937, 351921, 385916, 1609, 406599]",21,0.795,0.67,0.643,100.004,0.269,0.0,0.0733,-5.313,0.143
Bikini Porn,Tove Lo,2020-01-17,49,0,"[10109, 19461, 65004, 40314, 33634, 34563, 33057, 30337, 30941, 31756, 24044, 17535, 21713, 21068, 21213, 20585, 23145, 19504, 18870, 18985, 19295]",21,0.919,0.687,0.675,100.997,0.0839,1.1e-05,0.052,-5.793,0.0774
Billie Bossa Nova,Billie Eilish,2021-07-30,9,1,"[40581, 1938, 65446, 15002, 33634, 2092, 37126, 18293, 21757, 2141, 3644, 11159, 8333, 2025, 52935, 38131, 15309, 4484, 2148, 188445, 948543]",21,0.895,0.389,0.549,110.023,0.222,0.0346,0.105,-11.036,0.11
Binibini,Zack Tabudlo,2021-04-07,1,1,"[70317, 113402, 144308, 170946, 191620, 231484, 284825, 1229, 355141, 1602, 391434, 1938, 1638, 401678, 383496, 1908, 376208, 2076, 406332, 2089, 400990]",21,0.642,0.374,0.0979,129.863,0.423,1.54e-06,0.435,-10.606,0.032
Bir Tek Bende Yok,Sagopa Kajmer,2017-09-01,86,0,"[7809, 7233, 7121, 6913, 7365, 7510, 7113, 6437]",8,0.624,0.658,0.621,175.951,0.374,0.0,0.107,-6.906,0.281
Birds,Imagine Dragons,2018-11-09,30,0,"[6560, 7779, 3448, 29037, 14601, 4435, 2319, 7884, 1753, 5467, 4653, 2547, 4166, 1824, 1563, 4117, 4576, 2074, 1557, 4673, 4266]",21,0.649,0.517,0.35,119.997,0.0146,1.63e-06,0.145,-7.428,0.0297
Birthday,Anne-Marie,2020-02-07,38,0,"[50719, 318645, 118709, 1194, 8435, 8021, 47049, 3058, 2032, 1610, 2451, 4981, 31472, 35454, 7182, 6560, 1099, 1510, 8760, 37045, 4389]",21,0.609,0.785,0.756,151.995,0.0502,0.0,0.171,-3.32,0.0891
Bismarck,Sabaton,2019-05-17,103,0,"[10056, 37357, 23018, 17343, 6470, 23471, 6055, 21735, 20564, 20226]",10,0.505,0.859,0.434,95.036,0.00346,0.0012,0.263,-5.546,0.0431
Bitch I'm Back,Sidhu Moose Wala,2021-05-15,1,1,"[182462, 275094, 258568, 206362, 170631, 153319, 151352, 142950, 127827, 134368, 136109, 127647, 119503, 111360, 103220, 94782, 96568, 89304, 88396, 83949, 83238]",21,0.71,0.772,0.789,149.829,0.203,0.0,0.853,-4.496,0.103
Bitter Sweet Symphony,The Verve,2017-01-05,52,0,"[2324, 2232, 19918, 4710, 58888, 16707, 4688, 53750, 20737, 64110, 5335, 3589, 37401, 3388, 20430, 4213, 48134, 5926, 70270, 24408, 25180]",21,0.356,0.917,0.518,171.176,0.0335,0.0,0.406,-6.006,0.0479
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,2019-05-20,44,0,"[9999, 11117, 48644, 9795, 3866, 11516, 12369, 64613, 4232, 4262, 9743, 72180, 4707, 14387, 75833, 5524, 98203, 13028, 5305, 5378, 11915]",21,0.676,0.582,0.447,124.012,0.221,0.00627,0.515,-7.58,0.128
Black,Pearl Jam,2018-01-01,107,0,"[3094, 15823, 13167, 13079, 12435, 12783, 13435, 15229, 17315, 19051, 17613, 19752, 16300, 12235, 16092, 15114, 14098, 14040, 13182, 3004, 2806]",21,0.36,0.684,0.2,77.15,0.323,0.0,0.34,-6.457,0.0308
Black & White,Diljit Dosanjh,2021-08-22,54,0,"[59581, 66052, 64444, 61885, 57803, 55954, 55272, 53038, 51092, 52036, 50294, 50311, 55041, 60576, 59806, 61203, 60988, 61873, 59217, 62007, 64877]",21,0.712,0.683,0.526,83.935,0.323,6.84e-06,0.171,-6.965,0.0926
Black Converse,LOVA,2020-06-05,55,0,"[28354, 41093, 16679, 25846, 12693, 18986, 18140, 28205, 17589, 28213, 29131, 17851, 18227, 31272, 13569, 26640, 24232, 19167, 11108, 20036, 18739]",21,0.775,0.41,0.298,117.165,0.724,2.62e-05,0.114,-7.481,0.0464
Black Hole Sun,Soundgarden,2017-05-18,46,0,"[22177, 22818, 57261, 21346, 11599, 1043, 8148, 10965, 6934, 23027, 27943, 3899, 6920, 83066, 543814, 1227, 8660, 1845, 9465, 1471, 25798]",21,0.35,0.828,0.147,105.435,0.000217,0.000161,0.0774,-5.373,0.041
Black Mamba,aespa,2020-11-17,9,1,"[4422, 91105, 13993, 36638, 9686, 10160, 7357, 24511, 6530, 9189, 35836, 12715, 19213, 152623, 56380, 22525, 7390, 10829, 13051, 8953, 34040]",21,0.52,0.915,0.5,90.069,0.0618,0.000946,0.0856,-2.862,0.103
Black Out Days - Future Islands Remix,Phantogram,2021-06-02,93,0,"[1020, 1074, 1171, 1081, 1070, 1057, 1069, 1125, 1133, 1016, 1012, 1057, 1076, 1144, 1060, 1024, 1017, 1010, 1004, 1021, 1020]",21,0.477,0.483,0.123,170.026,0.0027,0.783,0.156,-9.413,0.0364
Black Swan,BTS,2020-01-17,1,1,"[64084, 3517, 69931, 145247, 6160, 41206, 9110, 2860, 13987, 4192, 7027, 39164, 143064, 12474, 10865, 21764, 38821, 3712, 4015, 67868, 47427]",21,0.719,0.757,0.489,147.024,0.137,0.0,0.129,-5.167,0.0849
Blah Blah Blah,Armin van Buuren,2018-05-23,7,1,"[11517, 13595, 1396, 16496, 13453, 20074, 11252, 18206, 11326, 20207, 14524, 20162, 15635, 21389, 17372, 24260, 22161, 15608, 9941, 19095, 1238]",21,0.612,0.963,0.179,138.009,0.00897,0.00378,0.294,-3.912,0.0531
Blank Space,Taylor Swift,2017-06-09,47,0,"[67101, 62264, 5464, 29818, 296970, 5313, 6918, 671695, 41842, 5669, 256136, 63352, 2735, 6383, 35690, 4740, 1941, 5467, 1022, 2738, 620432]",21,0.76,0.703,0.57,95.997,0.103,0.0,0.0913,-5.412,0.054
Bleed It Out,Linkin Park,2017-05-11,22,0,"[5915, 1310, 1059, 1033, 2293, 33294, 1577, 2908, 172096, 1365, 22833, 9019, 46172, 36951, 1353, 1698, 4244, 1720, 17959, 37266, 1787]",21,0.542,0.932,0.698,140.135,0.0747,0.0,0.613,-4.896,0.05
Bleeding Love,Leona Lewis,2017-01-05,73,0,"[4312, 59704, 3643, 48010, 7925, 3453, 4046, 46044, 3816, 3789, 3998, 4095, 4399, 5466, 59797, 6164, 66294, 24111, 4342, 4513, 4845]",21,0.638,0.656,0.225,104.036,0.188,0.0,0.146,-5.886,0.0357
Blinding Lights,The Weeknd,2019-11-29,1,1,"[94018, 19728, 128310, 2344, 81539, 15323, 75695, 2827, 28551, 47287, 15739, 5644, 4685, 16602, 5696, 48338, 125409, 23076, 6254, 8091, 49667]",21,0.514,0.73,0.334,171.005,0.00146,9.54e-05,0.0897,-5.934,0.0598
Blizzard,Daichi Miura,2018-11-09,30,0,"[8382, 6902, 8673, 12012, 14279, 14390, 14199, 12650, 15127, 15462, 13022, 13902, 12066, 11006, 10278, 9696, 9909, 7901, 7868, 7585, 7657]",21,0.641,0.817,0.39,139.999,0.0673,0.000643,0.105,-3.287,0.0553
Block Baby,kizaru,2020-11-12,2,1,"[20723, 3696, 1938, 2494, 125054, 25374, 1427, 1802, 98455, 19127, 15252, 79838, 1063, 1464, 1074, 1602, 77452, 14053, 1428, 65724, 11903]",21,0.71,0.645,0.479,119.968,0.427,0.000222,0.0393,-6.413,0.0396
Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,ENHYPEN,2021-10-12,26,0,"[54923, 21175, 127236, 1860, 9103, 1248, 19574, 1591, 43578, 18149, 108853, 7933, 11967, 6016, 9710, 14289, 83524, 10222, 58434, 7700, 8769]",21,0.495,0.926,0.642,159.922,0.0384,0.0,0.348,-4.589,0.323
Blood // Water,grandson,2018-05-14,37,0,"[1318, 1249, 1210, 1298, 2094, 2522, 2327, 2134, 2279, 2243, 1933, 2263, 2120, 2087, 1872, 3571, 1176, 2162, 2369, 3593, 1064]",21,0.51,0.882,0.653,154.029,0.00158,0.00206,0.0764,-5.659,0.159
Blood Sweat & Tears,BTS,2017-01-01,20,0,"[1973, 4896, 5030, 6518, 2371, 2897, 5018, 7172, 2191, 5567, 2218, 5752, 4981, 7655, 2877, 2954, 7408, 2016, 5915, 5128, 2049]",21,0.584,0.885,0.605,92.9,0.0244,0.0,0.357,-3.571,0.104
Bloodstream,twocolors,2021-03-12,79,0,"[70101, 16734, 14139, 11902, 12770, 12837, 2198, 12262, 12825, 2577, 2425, 12052, 2553, 2453, 74346, 77013, 64974, 64865, 69037, 89943, 87908]",21,0.586,0.715,0.59,120.971,0.013,1.15e-06,0.54,-5.962,0.159
Bloom (Online Bonus Track),The Paper Kites,2017-01-07,59,0,"[18501, 32394, 33428, 29064, 18129, 10349, 16895, 9723, 15875, 14493, 13097, 17180, 18337, 15209, 16358, 30736, 23052, 20737, 15294, 18229, 17454]",21,0.581,0.421,0.433,95.969,0.894,0.000491,0.119,-9.792,0.0245
Blue & Grey,BTS,2020-11-20,3,1,"[88426, 96878, 268384, 12881, 8897, 34008, 4825, 13001, 6791, 11232, 92629, 350345, 13144, 10313, 129787, 3159, 25571, 4022, 7188, 49817, 24020]",21,0.547,0.605,0.364,121.953,0.42,0.0,0.125,-6.755,0.0415
Blue Ain't Your Color,Keith Urban,2017-01-02,130,0,"[138817, 163552, 166814, 175478, 171718, 151278, 144156, 174768, 177560, 185684, 197691, 193710, 165160, 148676, 178159, 186934, 187643, 196104, 185392, 169362, 150262]",21,0.69,0.416,0.479,82.45,0.617,1.37e-06,0.102,-7.865,0.0335
Blue Christmas,Elvis Presley,2017-11-23,12,0,"[171850, 206838, 21060, 20731, 227072, 25217, 24897, 246553, 251953, 16731, 239298, 222486, 19584, 22961, 245718, 24499, 2822, 262455, 38451, 316924, 62409]",21,0.465,0.27,0.58,94.518,0.9,0.00104,0.145,-16.661,0.0425
Blue Hour,TOMORROW X TOGETHER,2020-10-26,56,0,"[36723, 9971, 35817, 10648, 1707, 13745, 1103, 3678, 1220, 15370, 9218, 1753, 43577, 12874, 46050, 3519, 9307, 3184, 40362, 11978, 40694]",21,0.71,0.82,0.746,112.005,0.00962,0.0,0.0871,-4.362,0.0836
Blue Jeans,GANGGA,2020-11-15,2,1,"[30423, 34973, 37518, 40669, 39799, 39375, 39841, 41693, 51560, 52468, 61671, 70969, 67955, 64562, 63784, 68838, 70793, 78784, 88022, 87583, 81862]",21,0.639,0.297,0.292,113.989,0.938,0.0839,0.18,-11.18,0.0334
Blue Side (Outro),j-hope,2018-03-02,81,0,"[2586, 16882, 7075, 5579, 6207, 2249, 5147, 3719, 1313, 4270, 3120, 2800, 4923, 3006]",14,0.512,0.394,0.083,80.522,0.0149,0.901,0.309,-10.202,0.0263
Blueming,IU,2019-11-18,8,1,"[7098, 7595, 6126, 5628, 13217, 29580, 19061, 16828, 11996, 3512, 10734, 15835, 18921, 3103, 12423, 5521, 29378, 10842, 16877, 20358, 3211]",21,0.819,0.674,0.682,106.032,0.0849,0.0,0.0667,-3.145,0.0587
Boa Me (feat. Ed Sheeran & Mugeez),Fuse ODG,2017-11-10,47,0,"[3133, 1098, 3992, 4399, 26339, 4641, 5923, 117859, 31301, 21194, 8552, 1912, 48037, 2110, 3448, 28249, 4206, 79990, 4109, 14861, 3455]",21,0.906,0.597,0.967,124.008,0.165,2.94e-06,0.0775,-2.566,0.0764
Bobo,Roméo Elvis,2019-04-12,20,0,"[27868, 180229, 11244, 15602, 100683, 11546, 70166, 12661, 77735, 11169, 66435, 60977, 10233, 9217, 53602, 8389, 48224, 7638, 38791, 6256, 6160]",21,0.749,0.605,0.356,110.119,0.22,0.0,0.216,-8.58,0.282
Body Back (feat. Maia Wright),Gryffin,2019-10-18,77,0,"[2459, 19786, 35310, 327274, 11286, 9728, 10702, 10580, 11331, 19821]",10,0.686,0.83,0.486,123.032,0.0948,1.33e-06,0.182,-4.437,0.0369
Body Like A Back Road,Sam Hunt,2017-02-01,12,0,"[229835, 21154, 433250, 383094, 32017, 591556, 3021, 473067, 384332, 31606, 464845, 28223, 390058, 324563, 360497, 32976, 434423, 414422, 35999, 502857, 36942]",21,0.732,0.458,0.661,98.938,0.447,0.0,0.136,-7.225,0.0311
Bohemian Rhapsody - Remastered 2011,Queen,2017-01-01,1,1,"[4015, 19791, 1872, 482964, 34315, 18940, 3700, 4553, 1483, 2567, 26747, 223789, 4185, 3942, 12369, 32012, 2564, 2121, 4270, 7514, 1280]",21,0.414,0.404,0.224,71.105,0.271,0.0,0.3,-9.928,0.0499
Boku no Sensou,Shinsei Kamattechan,2021-02-23,129,0,"[29245, 6229, 29704, 27857, 24977, 24733, 26494, 24129, 23913]",9,0.473,0.936,0.416,144.014,0.00916,0.0422,0.31,-4.877,0.0704
Boku no Sensou - TV Size,Shinsei Kamattechan,2020-12-16,101,0,"[1648, 1871, 1582, 1594, 1720, 2384, 2089, 1687, 2004, 2344, 2502, 2204, 2298, 2004, 2018, 2024, 1856, 1914, 2025, 2206, 2257]",21,0.447,0.891,0.517,143.976,0.00447,0.000905,0.39,-4.776,0.0788
Bom Rapaz (feat. Jorge & Mateus) - Ao Vivo,Fernando & Sorocaba,2017-10-01,18,0,"[41347, 48450, 55360, 51666, 54246, 70343, 58530, 57050, 62573, 60175, 65305, 66736, 70121, 56544, 55458, 59567, 60523, 57947, 63251, 67685, 57107]",21,0.579,0.864,0.561,95.961,0.49,0.0,0.959,-3.778,0.0437
Bonita,Jeeiph,2020-08-06,10,1,"[3512, 4657, 5112, 5304, 6534, 6946, 7201, 7016, 8076, 8367, 8572, 9964, 12479, 14053, 13955, 15953, 18203, 19286, 2033, 22964, 2221]",21,0.88,0.653,0.672,90.048,0.237,4.47e-06,0.145,-5.32,0.136
Borderline,Columbine,2018-09-28,36,0,"[5537, 118842, 4544, 90454, 4156, 79938, 4458, 87086, 4231, 82357, 82974, 73081, 66743, 61436, 53088, 57484, 53714, 54920, 48805, 48081, 44260]",21,0.713,0.752,0.435,137.963,0.267,0.0,0.0895,-6.257,0.069
Bored,Billie Eilish,2021-09-19,28,0,"[5571, 6094, 1039, 8931, 1773, 213175, 56121, 6588, 19848, 2111, 11967, 1293, 7446, 1063, 738470, 6982, 1170, 4918, 29321, 7037, 5007]",21,0.614,0.318,0.112,119.959,0.896,0.00239,0.0795,-12.695,0.0478
Born This Way,Lady Gaga,2017-02-06,75,0,"[180380, 3295, 41229, 21361, 4331, 52937, 3030, 4584, 4565, 3989, 3654, 2793]",12,0.586,0.835,0.492,123.936,0.00387,0.0,0.304,-5.117,0.146
Born in the U.S.A.,Bruce Springsteen,2019-07-04,21,0,"[405156, 221699, 434124, 291092, 736243, 598574, 379729]",7,0.398,0.952,0.584,122.093,0.000373,7.75e-05,0.1,-6.042,0.061
Born to Shine,Diljit Dosanjh,2020-07-29,27,0,"[35627, 59298, 41854, 37200, 36819, 34039, 31800, 29635, 27179, 26245, 25188, 23864, 24411, 24521, 23969, 24061, 35772, 51876, 60216, 64933, 67524]",21,0.745,0.826,0.674,90.149,0.357,0.0,0.302,-4.339,0.0866
Boss,Lil Pump,2017-08-18,54,0,"[169200, 160874, 151189, 155136, 161525, 160369, 166096, 160514, 173932, 183660, 189992, 193394, 203357, 187104, 174210, 177074, 178222, 186658, 196047, 205955, 191524]",21,0.803,0.789,0.647,119.999,0.0304,0.0,0.378,-3.434,0.0383
Boss Bitch,Doja Cat,2020-01-24,5,1,"[314939, 230447, 224115, 3295, 1073, 6171, 9258, 1739, 6554, 7230, 1443, 45630, 202379, 6220, 4702, 5969, 4623, 52438, 1005, 5734, 4916]",21,0.707,0.955,0.575,125.989,0.127,0.0,0.202,-4.593,0.222
